season,Matches,UniqueTeams,Champion
2007/08,58,8,Rajasthan Royals
2009,57,8,Sunrisers Hyderabad
2009/10,60,8,Chennai Super Kings
2011,72,10,Chennai Super Kings
2012,74,9,Kolkata Knight Riders
2013,76,9,Mumbai Indians
2014,60,8,Kolkata Knight Riders
2015,57,8,Mumbai Indians
2016,60,8,Sunrisers Hyderabad
2017,59,8,Mumbai Indians
2018,60,8,Chennai Super Kings
2019,59,8,Mumbai Indians
2020/21,60,8,Mumbai Indians
2021,60,8,Chennai Super Kings
2022,74,10,Gujarat Titans
2023,73,10,Chennai Super Kings
2024,71,10,Kolkata Knight Riders
