Bowler,Wickets,RunsGiven,Overs,Economy,Average
YS Chahal,205,4681,591,7.92,22.83
PP Chawla,192,5179,646,8.02,26.97
DJ Bravo,183,4436,527,8.42,24.24
B Kumar,181,5051,657,7.69,27.91
R Ashwin,180,5435,756,7.19,30.19
SP Narine,180,4672,682,6.85,25.96
A Mishra,174,4193,564,7.43,24.1
SL Malinga,170,3486,478,7.29,20.51
JJ Bumrah,168,3840,515,7.46,22.86
RA Jadeja,160,4917,643,7.65,30.73
Harbhajan Singh,150,4101,570,7.19,27.34
Rashid Khan,149,3340,480,6.96,22.42
UT Yadav,144,4442,511,8.69,30.85
Sandeep Sharma,137,3758,472,7.96,27.43
HV Patel,135,3215,366,8.78,23.81
MM Sharma,132,3278,381,8.6,24.83
Mohammed Shami,127,3486,408,8.54,27.45
AR Patel,123,3824,518,7.38,31.09
TA Boult,121,3286,392,8.38,27.16
K Rabada,120,2652,306,8.67,22.1
AD Russell,115,2691,289,9.31,23.4
A Nehra,106,2537,320,7.93,23.93
R Vinay Kumar,105,3041,358,8.49,28.96
Z Khan,102,2860,371,7.71,28.04
JD Unadkat,99,3219,359,8.97,32.52
DW Steyn,97,2583,364,7.1,26.63
CH Morris,96,2377,287,8.28,24.76
SN Thakur,94,2908,316,9.2,30.94
Mohammed Siraj,93,2894,328,8.82,31.12
SR Watson,92,2742,341,8.04,29.8
I Sharma,92,3255,386,8.43,35.38
P Kumar,90,3342,424,7.88,37.13
RP Singh,90,2417,299,8.08,26.86
PP Ojha,89,2399,318,7.54,26.96
Kuldeep Yadav,87,2413,292,8.26,27.74
DS Kulkarni,86,2513,299,8.4,29.22
JA Morkel,85,2409,288,8.36,28.34
CV Varun,83,2042,265,7.71,24.6
Imran Tahir,82,1729,221,7.82,21.09
IK Pathan,80,2711,345,7.86,33.89
M Morkel,77,2136,272,7.85,27.74
DL Chahar,77,2243,281,7.98,29.13
KH Pandya,76,2644,357,7.41,34.79
KV Sharma,76,2130,252,8.45,28.03
L Balaji,76,2083,256,8.14,27.41
Arshdeep Singh,76,2097,230,9.12,27.59
RD Chahar,75,2165,279,7.76,28.87
MM Patel,74,1733,227,7.63,23.42
KK Ahmed,74,1918,214,8.96,25.92
Avesh Khan,74,2010,223,9.01,27.16
